rank,keyword,count
1,AI,549
2,예산,434
3,교육청,340
4,교사,336
5,안전,258
6,디지털,187
7,돌봄,182
8,환경,177
9,기초학력,139
10,교원,135
11,상담,120
12,시설,120
13,교권,111
14,회복,98
15,인성,86
16,정서,83
17,생태,82
18,예술,81
19,급식,77
20,통학,75
21,스마트,71
22,체육,71
23,교육복지,70
24,연수,68
25,심리,66
26,방과후,65
27,학교폭력,60
28,독서,60
29,책임교육,54
30,교권보호,53
31,다문화,53
32,소통,52
33,특수교육,48
34,마음건강,47
35,맞춤형교육,42
36,문해력,38
37,진로진학,38
38,대입,35
39,온라인,31
40,학교시설,31
41,고교학점제,29
42,위기학생,28
43,작은학교,26
44,민주시민,24
45,청렴,21
46,늘봄,19
47,유아교육,18
48,업무경감,18
49,과밀학급,16
50,수리력,15
51,농산어촌,15
52,에듀테크,13
53,피해학생,12
54,수업혁신,12
55,유보통합,9
56,학습진단,8
57,늘봄학교,7
58,급식실,7
59,화장실,7
60,수업권,6
61,학생자치,6
62,학력진단,5
63,개별화교육,3
64,코딩,3
65,무상급식,3
66,소프트웨어,1
67,아동학대,1
68,석면,1
