rank,keyword,count
1,교육,2787
2,학교,1249
3,지원,966
4,학생,776
5,운영,666
6,확대,570
7,AI,549
8,지역,476
9,예산,434
10,학습,434
11,강화,372
12,교사,335
13,안전,257
14,미래,239
15,학력,222
16,맞춤형,205
17,수업,204
18,진로,202
19,학부모,188
20,디지털,187
21,돌봄,182
22,환경,177
23,체험,158
24,건강,142
25,교육과정,136
26,보호,136
27,기초학력,133
28,교원,133
29,평가,129
30,시설,120
31,상담,120
32,역량,112
33,교권,110
34,자치,102
35,회복,97
36,혁신,85
37,인성,84
38,생태,82
39,초등,82
40,예술,81
41,학급,80
42,인재,78
43,급식,77
44,공교육,73
45,폭력,71
46,체육,71
47,위기,68
48,무상,66
49,심리,66
50,교육복지,60
51,학교폭력,59
52,독서,59
53,고등,59
54,유아,57
55,방과후,56
56,미래교육,56
57,다문화,53
58,소통,52
59,특수교육,47
60,취업,46
61,책임교육,45
62,직업,44
63,문해력,38
64,대입,34
65,고교학점제,28
66,행복,26
67,민주시민,22
68,청렴,20
69,늘봄,19
70,선생님,17
71,작은학교,16
72,수리력,15
73,농산어촌,15
74,마을교육,15
75,과밀학급,14
76,유보통합,9
77,중등,7
