rank,keyword,count
1,교육청 자체,71
2,교육청 자체 예산,68
3,지자체 협력,37
4,지방자치단체 대응투자,25
5,교육부 특별교부금,19
6,교육격차 해소,19
7,자체 예산 국비,18
8,맞춤형 학습,17
9,함께 성장하는,15
10,교육청 예산,15
11,자체예산 지자체,15
12,예산 지방자치단체,15
13,과제 이행절차,15
14,자체 예산 지방자치단체,15
15,예산 지방자치단체 대응투자,15
16,임기내 자체예산,14
17,특별교부금 확보,13
18,지속 가능한,12
19,교육청 자체예산,12
20,이행절차 희망학교,12
21,희망학교 조사,12
22,과제 이행절차 희망학교,12
23,이행절차 희망학교 조사,12
24,교육청 지자체,11
25,기초학력 보장,10
26,기초학력 책임교육,10
27,자체예산 지방자치단체,10
28,AI 디지털,10
29,자체예산 특별교부금,10
30,자체예산 지방자치단체 대응투자,10
31,서비스 제공,9
32,사각지대 없는,9
33,교사 행정업무,9
34,재원조달 교육비특별회계정책,9
35,학부모 부담,8
36,예산 재구조화,8
37,학습 플랫폼,8
38,교육복지 실현,8
39,소외되지 않는,8
40,예산 지자체,8
41,자체 예산 지자체,8
42,tf팀 구성,7
43,안전하고 건강한,7
44,교육활동 보호,7
45,우선순위 단중기,7
46,단중기 과제,7
47,우선순위 중장기,7
48,중장기 과제,7
49,기초학력 책임,7
50,우선순위 단중기 과제,7
51,단중기 과제 이행절차,7
52,우선순위 중장기 과제,7
53,중장기 과제 이행절차,7
54,사각지대 해소,6
55,특성에 맞는,6
56,선순환 구조,6
57,함께 키우는,6
58,생태계 조성,6
59,포기하지 않는,6
60,이동권 보장,6
61,년간 단계적,6
62,자체 예산을,6
63,부담 최소화,6
64,임기내 교육청,6
65,인프라 확충,6
66,시행 교육청,6
67,디지털 교과서,6
68,디지털 리터러시,6
69,교육비 부담,6
70,단계 로드맵,6
71,광주·전남 통합,6
72,특별교부금 지방자치단체,6
73,제주형 자율학교,6
74,수업 교사제,5
75,도비 시·군비,5
76,지역과 함께,5
77,학교밖 청소년,5
78,교직원 업무,5
79,일자리 창출,5
80,개별 맞춤형,5
81,정책입안 계획,5
82,진행 등자체예산,5
83,체계를 구축하여,5
84,책임교육 실현,5
85,초등 저학년,5
86,교육환경 조성,5
87,맞춤형 교육과정,5
88,공모사업 적극,5
89,사교육비 절감,5
90,기존 교육청,5
91,경계선 지능,5
92,월부터 연차적,5
93,중심 교육에서,5
94,초·중·고 학교급별,5
95,기초학력 미달,5
96,제원조달방안 자체예산,5
97,초등학교 학년,5
98,학년 학급당,5
99,국비 지자체,5
100,학교시설 개방,5
101,재원조달 교육비특별회계,5
102,억원 교육청,5
103,학부모 교육비,5
104,중심 교육행정,5
105,함께 만드는,5
106,지원사업 국비,5
107,하반기부터 년까지,5
108,년까지 교육청,5
109,교육청자체예산 국비,5
110,단위사업별 전수조사,5
111,전수조사 사업비,5
112,사업비 확정,5
113,확정 지방교육재정교부금,5
