rank,keyword,count
1,AI,549
2,예산,434
3,학습,434
4,교사,335
5,안전,257
6,학력,222
7,맞춤형,205
8,수업,204
9,진로,202
10,학부모,188
11,디지털,187
12,돌봄,182
13,환경,177
14,체험,158
15,건강,142
16,교육과정,136
17,보호,136
18,기초학력,133
19,교원,133
20,평가,129
21,시설,120
22,상담,120
23,역량,112
24,교권,110
25,자치,102
26,회복,97
27,혁신,85
28,인성,84
29,생태,82
30,초등,82
31,예술,81
32,학급,80
33,인재,78
34,급식,77
35,공교육,73
36,폭력,71
37,체육,71
38,위기,68
39,무상,66
40,심리,66
41,교육복지,60
42,학교폭력,59
43,독서,59
44,고등,59
45,유아,57
46,방과후,56
47,미래교육,56
48,다문화,53
49,소통,52
50,특수교육,47
51,취업,46
52,책임교육,45
53,직업,44
54,문해력,38
55,대입,34
56,고교학점제,28
57,행복,26
58,민주시민,22
59,청렴,20
60,늘봄,19
61,선생님,17
62,작은학교,16
63,수리력,15
64,농산어촌,15
65,마을교육,15
66,과밀학급,14
67,유보통합,9
68,중등,7
