keyword,totalCount,totalPledgeCount,totalCandidateCount,electedCount,electedPledgeCount,electedCandidateCount,electedCountPerCandidate,nonElectedCount,nonElectedPledgeCount,nonElectedCandidateCount,nonElectedCountPerCandidate,perCandidateDifference,moreObservedIn
인프라 확충,201,201,156,103,103,76,0.4239,98,98,80,0.2475,0.1764,elected
민간자본 유치,37,37,19,27,27,11,0.1111,10,10,8,0.0253,0.0858,elected
역세권 개발,42,42,40,27,27,26,0.1111,15,15,14,0.0379,0.0732,elected
청년 창업,91,91,86,45,45,43,0.1852,46,46,43,0.1162,0.069,elected
아이 키우기,85,85,80,42,42,38,0.1728,43,43,42,0.1086,0.0642,elected
ai 스마트,42,42,36,25,25,20,0.1029,17,17,16,0.0429,0.06,elected
양질 일자리,110,110,104,50,50,47,0.2058,60,60,57,0.1515,0.0543,elected
산업 거점,13,13,12,12,12,11,0.0494,0,0,0,0,0.0494,elected
시설 현대화,31,31,29,19,19,18,0.0782,12,12,11,0.0303,0.0479,elected
민간투자 유치,66,66,51,18,18,17,0.0741,48,48,34,0.1212,-0.0471,non-elected
디지털 전환,40,40,38,22,22,20,0.0905,18,18,18,0.0455,0.045,elected
부담 최소화,73,73,55,21,21,19,0.0864,52,52,36,0.1313,-0.0449,non-elected
일자리 창출,314,314,252,126,126,99,0.5185,188,188,153,0.4747,0.0438,elected
역사 문화,33,33,33,19,19,19,0.0782,14,14,14,0.0354,0.0428,elected
초기검토 숙의기간,10,10,2,10,10,2,0.0412,0,0,0,0,0.0412,elected
기후위기 대응,26,26,24,16,16,14,0.0658,10,10,10,0.0253,0.0405,elected
세출 구조조정,21,21,15,14,14,9,0.0576,7,7,6,0.0177,0.0399,elected
아이 어르신,29,29,29,17,17,17,0.07,12,12,12,0.0303,0.0397,elected
소외되지 않는,17,17,15,12,12,10,0.0494,5,5,5,0.0126,0.0368,elected
청년 일자리,109,109,99,36,36,32,0.1481,73,73,67,0.1843,-0.0362,non-elected
골목형 상점,12,12,12,10,10,10,0.0412,2,2,2,0.0051,0.0361,elected
교육 프로그램,36,36,33,19,19,18,0.0782,17,17,15,0.0429,0.0353,elected
체육시설 확충,15,15,15,11,11,11,0.0453,4,4,4,0.0101,0.0352,elected
어르신 일자리,23,23,23,14,14,14,0.0576,9,9,9,0.0227,0.0349,elected
아동 청소년,37,37,35,9,9,9,0.037,28,28,26,0.0707,-0.0337,non-elected
광역 교통망,34,34,32,18,18,16,0.0741,16,16,16,0.0404,0.0337,elected
임기중 지속,8,8,2,8,8,2,0.0329,0,0,0,0,0.0329,elected
온라인 판매,14,14,14,0,0,0,0,13,13,13,0.0328,-0.0328,non-elected
장애인 취약계층,11,11,11,9,9,9,0.037,2,2,2,0.0051,0.0319,elected
최우선 순위,11,11,6,9,9,4,0.037,2,2,2,0.0051,0.0319,elected
활기찬 노후,11,11,11,9,9,9,0.037,2,2,2,0.0051,0.0319,elected
문화 예술,35,35,34,18,18,17,0.0741,17,17,17,0.0429,0.0312,elected
빈집 리모델링,12,12,12,0,0,0,0,12,12,12,0.0303,-0.0303,non-elected
인허 패스트트랙,12,12,11,0,0,0,0,12,12,11,0.0303,-0.0303,non-elected
국가철도망 구축계획,54,54,53,25,25,24,0.1029,29,29,29,0.0732,0.0297,elected
촘촘한 복지,20,20,20,12,12,12,0.0494,8,8,8,0.0202,0.0292,elected
산업 생태계,49,49,47,23,23,23,0.0947,26,26,24,0.0657,0.029,elected
기후변화 대응,8,8,8,7,7,7,0.0288,0,0,0,0,0.0288,elected
