keyword,count,pledgeCount,candidateCount,candidateRate,countPerCandidate,score,electedCount,electedPledgeCount,electedCandidateCount,nonElectedCount,nonElectedPledgeCount,nonElectedCandidateCount
돌봄,885,333,262,0.41,1.385,11.54,368,140,113,517,193,149
스마트,772,411,261,0.4085,1.2081,11.3308,372,187,118,400,224,143
어르신,650,300,254,0.3975,1.0172,11.1649,285,125,111,365,175,143
ai,1435,536,317,0.4961,2.2457,11.1187,660,246,142,775,290,175
글로벌,538,282,214,0.3349,0.8419,10.9795,237,129,99,301,153,115
설립,570,342,243,0.3803,0.892,10.9755,191,117,90,379,225,153
이행절차,81,63,14,0.0219,0.1268,10.9324,19,19,4,62,44,10
에너지,472,224,175,0.2739,0.7387,10.9195,182,88,72,290,136,103
농업,421,175,143,0.2238,0.6588,10.9017,188,68,62,233,107,81
소상공인,511,240,217,0.3396,0.7997,10.8785,217,95,86,294,145,131
프로그램,536,364,243,0.3803,0.8388,10.8694,235,149,99,301,215,144
지속,538,462,252,0.3944,0.8419,10.846,255,212,111,283,250,141
부지,527,341,243,0.3803,0.8247,10.8401,220,137,98,307,204,145
공간,513,336,234,0.3662,0.8028,10.8242,214,133,97,299,203,137
창업,501,281,231,0.3615,0.784,10.7936,246,135,112,255,146,119
지급,448,229,182,0.2848,0.7011,10.7936,153,77,66,295,152,116
부담,521,398,253,0.3959,0.8153,10.7875,185,141,98,336,257,155
건립,832,494,292,0.457,1.302,10.7813,390,230,128,442,264,164
착공,491,357,226,0.3537,0.7684,10.7762,200,146,92,291,211,134
지역경제,524,380,258,0.4038,0.82,10.7366,205,145,106,319,235,152
새만금,88,32,18,0.0282,0.1377,10.7088,40,11,7,48,21,11
있습니다,115,50,26,0.0407,0.18,10.7066,23,9,4,92,41,22
통합,671,434,280,0.4382,1.0501,10.682,268,176,112,403,258,168
의료,458,259,220,0.3443,0.7167,10.677,177,106,90,281,153,130
지정,686,400,282,0.4413,1.0736,10.6766,295,176,118,391,224,164
구성,484,382,249,0.3897,0.7574,10.6736,186,138,92,298,244,157
단계별,388,331,156,0.2441,0.6072,10.6736,145,126,59,243,205,97
이행계획,27,6,2,0.0031,0.0423,10.6675,26,5,1,1,1,1
신설,665,433,280,0.4382,1.0407,10.6673,238,154,104,427,279,176
상권,433,266,198,0.3099,0.6776,10.6637,146,91,76,287,175,122
행정,873,448,302,0.4726,1.3662,10.6538,351,172,120,522,276,182
생활,464,327,236,0.3693,0.7261,10.6437,202,135,97,262,192,139
민간,689,546,284,0.4444,1.0782,10.6423,270,211,103,419,335,181
투자,612,455,275,0.4304,0.9577,10.635,232,178,106,380,277,169
연계한,445,352,219,0.3427,0.6964,10.6305,185,144,87,260,208,132
임기중,68,45,13,0.0203,0.1064,10.6247,50,29,7,18,16,6
정비,435,296,211,0.3302,0.6808,10.6206,193,126,88,242,170,123
서비스,450,316,228,0.3568,0.7042,10.618,206,141,104,244,175,124
주거,522,332,264,0.4131,0.8169,10.601,225,145,110,297,187,154
대응,452,327,237,0.3709,0.7074,10.595,212,144,105,240,183,132
원도심,292,155,102,0.1596,0.457,10.5912,105,55,36,187,100,66
조기,412,247,199,0.3114,0.6448,10.5726,206,119,98,206,128,101
혁신,432,313,221,0.3459,0.6761,10.5718,187,132,94,245,181,127
환경,517,381,265,0.4147,0.8091,10.5635,229,166,115,288,215,150
규모,423,325,214,0.3349,0.662,10.5606,169,134,88,254,191,126
