keyword,count,pledgeCount,candidateCount,candidateRate,countPerCandidate,score,electedCount,electedPledgeCount,electedCandidateCount,nonElectedCount,nonElectedPledgeCount,nonElectedCandidateCount
일자리 창출,308,308,247,0.3865,0.482,11.3868,123,123,96,185,185,151
인프라 확충,191,191,150,0.2347,0.2989,10.8579,98,98,74,93,93,76
민간 투자,133,133,89,0.1393,0.2081,10.6642,44,44,33,89,89,56
기업 유치,179,179,161,0.252,0.2801,10.6601,69,69,62,110,110,99
투자 유치,145,145,106,0.1659,0.2269,10.6422,53,53,37,92,92,69
부담 완화,101,101,84,0.1315,0.1581,10.1388,45,45,37,56,56,47
청년 일자리,109,109,99,0.1549,0.1706,10.112,36,36,32,73,73,67
지속 가능한,91,91,72,0.1127,0.1424,10.1027,43,43,33,48,48,39
인구 유입,101,101,88,0.1377,0.1581,10.0833,35,35,31,66,66,57
양질 일자리,110,110,104,0.1628,0.1721,10.0774,50,50,47,60,60,57
민간 자본,75,75,54,0.0845,0.1174,10.0551,26,26,17,49,49,37
시스템 도입,89,89,77,0.1205,0.1393,9.9692,35,35,32,54,54,45
산업 육성,86,86,76,0.1189,0.1346,9.9102,31,31,28,55,55,48
민간자본 유치,37,37,19,0.0297,0.0579,9.8961,27,27,11,10,10,8
청년 창업,91,91,86,0.1346,0.1424,9.885,45,45,43,46,46,43
체류형 관광,92,92,88,0.1377,0.144,9.8819,33,33,33,59,59,55
정주 여건,83,83,74,0.1158,0.1299,9.8652,33,33,30,50,50,44
부담 최소화,65,65,49,0.0767,0.1017,9.8622,18,18,16,47,47,33
문화 관광,86,86,81,0.1268,0.1346,9.833,32,32,31,54,54,50
선순환 구조,81,81,73,0.1142,0.1268,9.8284,28,28,25,53,53,48
민간투자 유치,64,64,49,0.0767,0.1002,9.8262,18,18,17,46,46,32
아이 키우기,85,85,80,0.1252,0.133,9.8223,42,42,38,43,43,42
키우기 좋은,84,84,79,0.1236,0.1315,9.8116,43,43,39,41,41,40
공공 민간,56,56,40,0.0626,0.0876,9.8038,27,27,14,29,29,26
사항 추경,15,15,3,0.0047,0.0235,9.7762,10,10,2,5,5,1
민관 협력,61,61,48,0.0751,0.0955,9.7438,24,24,18,37,37,30
삶의 향상,75,75,71,0.1111,0.1174,9.6931,31,31,31,44,44,40
착공 준공,48,48,34,0.0532,0.0751,9.6713,27,27,19,21,21,15
인재 양성,74,74,71,0.1111,0.1158,9.6634,37,37,34,37,37,37
조기 착공,71,71,66,0.1033,0.1111,9.6631,36,36,33,35,35,33
우선순위 최우선,16,16,4,0.0063,0.025,9.6529,12,12,3,4,4,1
관광 인프라,71,71,69,0.108,0.1111,9.6073,25,25,25,46,46,44
협의체 구성,64,64,59,0.0923,0.1002,9.5745,18,18,18,46,46,41
사각지대 해소,66,66,63,0.0986,0.1033,9.5591,23,23,22,43,43,41
자본 유치,50,50,40,0.0626,0.0782,9.5341,16,16,12,34,34,28
mou 체결,47,47,37,0.0579,0.0736,9.4974,12,12,10,35,35,27
재개발 재건축,62,62,60,0.0939,0.097,9.4811,26,26,24,36,36,36
청년 신혼부부,60,60,57,0.0892,0.0939,9.4734,26,26,25,34,34,32
정부 공모사업,40,40,29,0.0454,0.0626,9.4569,19,19,11,21,21,18
인구 유출,46,46,39,0.061,0.072,9.3714,10,10,10,36,36,29
행정 절차,46,46,39,0.061,0.072,9.3714,18,18,14,28,28,25
tf 구성,48,48,42,0.0657,0.0751,9.369,21,21,20,27,27,22
국가철도망 구축계획,54,54,53,0.0829,0.0845,9.3287,25,25,24,29,29,29
균형 발전,47,47,42,0.0657,0.0736,9.3193,15,15,15,32,32,27
법적 근거,32,32,22,0.0344,0.0501,9.2962,7,7,6,25,25,16
산업 생태계,49,49,47,0.0736,0.0767,9.264,23,23,23,26,26,24
문제 해결,45,45,41,0.0642,0.0704,9.2498,15,15,13,30,30,28
규제 완화,46,46,43,0.0673,0.072,9.2365,15,15,15,31,31,28
공모사업 유치,38,38,31,0.0485,0.0595,9.2339,18,18,14,20,20,17
국가계획 반영,44,44,40,0.0626,0.0689,9.2306,20,20,19,24,24,21
공사 착공,31,31,22,0.0344,0.0485,9.2144,14,14,10,17,17,12
소득 증대,43,43,39,0.061,0.0673,9.2108,22,22,19,21,21,20
